no,email,EXPERIENCE,TECH,dependend
1,user1@gmail.com,15,flask,1
2,user2@yahoo.com,11,elixir,0
3,user3@example.com,15,perl,0
4,user4@yahoo.com,4,lua,0
5,user5@yahoo.com,6,sql,0
6,user6@hotmail.com,6,html,0
7,user7@outlook.com,6,sas,0
8,user8@gmail.com,7,go,0
9,user9@gmail.com,4,dart,0
10,user10@outlook.com,14,sql,0
11,user11@gmail.com,10,lisp,0
12,user12@example.com,12,scheme,0
13,user13@outlook.com,5,erlang,0
14,user14@gmail.com,10,fortran,0
15,user15@gmail.com,5,css,0
16,user16@gmail.com,12,dart,0
17,user17@yahoo.com,6,c#,0
18,user18@gmail.com,13,swift,0
19,user19@gmail.com,8,scala,0
20,user20@gmail.com,9,r,0
21,user21@example.com,11,c++,0
22,user22@hotmail.com,2,kotlin,0
23,user23@yahoo.com,13,typescript,0
24,user24@example.com,10,matlab,0
25,user25@outlook.com,10,json,0
26,user26@gmail.com,5,elixir,0
27,user27@gmail.com,13,julia,0
28,user28@yahoo.com,8,dart,0
29,user29@hotmail.com,7,cobol,0
30,user30@outlook.com,6,julia,0
31,user31@example.com,11,kotlin,0
32,user32@hotmail.com,15,c++,0
33,user33@yahoo.com,13,flask,1
34,user34@hotmail.com,15,flask,1
35,user35@hotmail.com,2,go,0
36,user36@outlook.com,13,python,1
37,user37@gmail.com,5,swift,0
38,user38@example.com,6,elixir,0
39,user39@gmail.com,14,sas,0
40,user40@gmail.com,4,java,0
41,user41@yahoo.com,13,css,0
42,user42@gmail.com,14,fastapi,1
43,user43@outlook.com,9,dart,0
44,user44@hotmail.com,7,perl,0
45,user45@example.com,3,typescript,0
46,user46@hotmail.com,6,json,0
47,user47@hotmail.com,10,json,0
48,user48@example.com,14,java,0
49,user49@hotmail.com,14,django,1
50,user50@yahoo.com,4,json,0
51,user51@gmail.com,11,lua,0
52,user52@hotmail.com,7,python,1
53,user53@outlook.com,3,django,1
54,user54@example.com,6,rust,0
55,user55@outlook.com,2,html,0
56,user56@gmail.com,3,bash,0
57,user57@hotmail.com,13,cobol,0
58,user58@example.com,15,scala,0
59,user59@gmail.com,9,java,0
60,user60@gmail.com,4,kotlin,0
61,user61@gmail.com,14,java,0
62,user62@hotmail.com,13,erlang,0
63,user63@gmail.com,12,html,0
64,user64@yahoo.com,3,cobol,0
65,user65@example.com,15,java,0
66,user66@outlook.com,8,lisp,0
67,user67@example.com,6,f#,0
68,user68@yahoo.com,8,cobol,0
69,user69@outlook.com,3,java,0
70,user70@hotmail.com,5,rust,0
71,user71@gmail.com,3,php,0
72,user72@outlook.com,5,lisp,0
73,user73@example.com,14,java,0
74,user74@hotmail.com,6,c#,0
75,user75@yahoo.com,7,flask,1
76,user76@hotmail.com,14,bash,0
77,user77@example.com,14,scala,0
78,user78@yahoo.com,15,html,0
79,user79@gmail.com,2,html,0
80,user80@outlook.com,5,cobol,0
81,user81@outlook.com,13,dart,0
82,user82@yahoo.com,12,json,0
83,user83@gmail.com,15,ruby,0
84,user84@hotmail.com,2,django,1
85,user85@outlook.com,5,python,1
86,user86@hotmail.com,3,ruby,0
87,user87@hotmail.com,13,python,1
88,user88@yahoo.com,15,matlab,0
89,user89@gmail.com,15,lisp,0
90,user90@hotmail.com,10,typescript,0
91,user91@yahoo.com,3,f#,0
92,user92@hotmail.com,4,rust,0
93,user93@example.com,10,java,0
94,user94@yahoo.com,10,r,0
95,user95@gmail.com,3,rust,0
96,user96@example.com,1,c++,0
97,user97@gmail.com,1,perl,0
98,user98@outlook.com,9,css,0
99,user99@yahoo.com,13,perl,0
100,user100@outlook.com,10,flask,1
101,user101@outlook.com,13,matlab,0
102,user102@example.com,10,lua,0
103,user103@example.com,10,php,0
104,user104@example.com,10,c++,0
105,user105@yahoo.com,4,c++,0
106,user106@yahoo.com,8,pandas,1
107,user107@gmail.com,11,scala,0
108,user108@yahoo.com,1,css,0
109,user109@example.com,14,elixir,0
110,user110@gmail.com,9,sas,0
111,user111@outlook.com,1,php,0
112,user112@gmail.com,14,javascript,0
113,user113@outlook.com,7,kotlin,0
114,user114@gmail.com,7,sas,0
115,user115@yahoo.com,2,cobol,0
116,user116@yahoo.com,6,pandas,1
117,user117@hotmail.com,3,scheme,0
118,user118@hotmail.com,5,flask,1
119,user119@example.com,8,lisp,0
120,user120@yahoo.com,10,typescript,0
121,user121@yahoo.com,9,fastapi,1
122,user122@yahoo.com,14,pandas,1
123,user123@example.com,5,c#,0
124,user124@gmail.com,15,dart,0
125,user125@hotmail.com,11,java,0
126,user126@yahoo.com,1,php,0
127,user127@gmail.com,8,ruby,0
128,user128@yahoo.com,11,r,0
129,user129@outlook.com,6,cobol,0
130,user130@example.com,9,sql,0
131,user131@hotmail.com,5,pandas,1
132,user132@yahoo.com,10,java,0
133,user133@yahoo.com,7,cobol,0
134,user134@example.com,7,html,0
135,user135@example.com,5,javascript,0
136,user136@yahoo.com,3,lua,0
137,user137@example.com,4,python,1
138,user138@hotmail.com,6,perl,0
139,user139@yahoo.com,2,go,0
140,user140@gmail.com,8,rust,0
141,user141@example.com,6,sql,0
142,user142@yahoo.com,7,ruby,0
143,user143@outlook.com,8,c#,0
144,user144@gmail.com,3,ruby,0
145,user145@example.com,8,elixir,0
146,user146@hotmail.com,15,django,1
147,user147@gmail.com,1,php,0
148,user148@hotmail.com,9,sql,0
149,user149@gmail.com,15,flask,1
150,user150@example.com,15,erlang,0
151,user151@hotmail.com,13,css,0
152,user152@hotmail.com,13,kotlin,0
153,user153@yahoo.com,5,cobol,0
154,user154@yahoo.com,1,php,0
155,user155@yahoo.com,3,haskell,0
156,user156@yahoo.com,6,typescript,0
157,user157@hotmail.com,13,ruby,0
158,user158@example.com,11,lisp,0
159,user159@yahoo.com,6,swift,0
160,user160@outlook.com,11,erlang,0
161,user161@hotmail.com,3,c++,0
162,user162@hotmail.com,14,php,0
163,user163@hotmail.com,11,sas,0
164,user164@yahoo.com,13,lisp,0
165,user165@yahoo.com,14,haskell,0
166,user166@outlook.com,2,python,1
167,user167@example.com,12,julia,0
168,user168@hotmail.com,1,java,0
169,user169@hotmail.com,7,django,1
170,user170@outlook.com,2,fortran,0
171,user171@outlook.com,15,html,0
172,user172@yahoo.com,3,matlab,0
173,user173@yahoo.com,15,dart,0
174,user174@yahoo.com,5,erlang,0
175,user175@gmail.com,13,kotlin,0
176,user176@gmail.com,7,kotlin,0
177,user177@hotmail.com,10,xml,0
178,user178@gmail.com,9,xml,0
179,user179@hotmail.com,11,ruby,0
180,user180@hotmail.com,2,sql,0
181,user181@outlook.com,3,lisp,0
182,user182@outlook.com,9,kotlin,0
183,user183@hotmail.com,12,haskell,0
184,user184@example.com,10,erlang,0
185,user185@outlook.com,2,python,1
186,user186@gmail.com,13,django,1
187,user187@yahoo.com,1,python,0
188,user188@example.com,2,python,1
189,user189@yahoo.com,7,bash,0
190,user190@gmail.com,8,scala,0
191,user191@example.com,8,flask,1
192,user192@gmail.com,15,xml,0
193,user193@gmail.com,6,rust,0
194,user194@yahoo.com,14,elixir,0
195,user195@yahoo.com,13,matlab,0
196,user196@gmail.com,4,f#,0
197,user197@yahoo.com,13,sas,0
198,user198@yahoo.com,3,javascript,0
199,user199@yahoo.com,12,python,1
200,user200@example.com,5,dart,0
201,user201@gmail.com,9,bash,0
202,user202@outlook.com,12,perl,0
203,user203@yahoo.com,3,css,0
204,user204@hotmail.com,6,sql,0
205,user205@outlook.com,15,rust,0
206,user206@yahoo.com,1,fastapi,0
207,user207@outlook.com,14,java,0
208,user208@yahoo.com,9,julia,0
209,user209@yahoo.com,1,go,0
210,user210@hotmail.com,14,php,0
211,user211@gmail.com,8,java,0
212,user212@outlook.com,12,fastapi,1
213,user213@yahoo.com,2,javascript,0
214,user214@hotmail.com,11,matlab,0
215,user215@hotmail.com,9,sql,0
216,user216@outlook.com,15,dart,0
217,user217@gmail.com,1,django,0
218,user218@example.com,12,erlang,0
219,user219@outlook.com,3,go,0
220,user220@hotmail.com,10,elixir,0
221,user221@yahoo.com,6,c++,0
222,user222@example.com,2,xml,0
223,user223@outlook.com,1,perl,0
224,user224@outlook.com,10,java,0
225,user225@example.com,8,sql,0
226,user226@outlook.com,7,sql,0
227,user227@gmail.com,9,php,0
228,user228@yahoo.com,14,erlang,0
229,user229@outlook.com,8,xml,0
230,user230@gmail.com,8,swift,0
231,user231@hotmail.com,15,julia,0
232,user232@outlook.com,3,sas,0
233,user233@yahoo.com,15,erlang,0
234,user234@yahoo.com,8,c#,0
235,user235@gmail.com,14,java,0
236,user236@example.com,10,scala,0
237,user237@yahoo.com,15,html,0
238,user238@gmail.com,11,c#,0
239,user239@gmail.com,8,kotlin,0
240,user240@gmail.com,15,julia,0
241,user241@gmail.com,8,elixir,0
242,user242@outlook.com,7,perl,0
243,user243@example.com,1,fastapi,0
244,user244@yahoo.com,12,pandas,1
245,user245@gmail.com,5,swift,0
246,user246@gmail.com,5,kotlin,0
247,user247@yahoo.com,5,cobol,0
248,user248@yahoo.com,3,swift,0
249,user249@example.com,15,swift,0
250,user250@example.com,13,lisp,0
251,user251@outlook.com,15,django,1
252,user252@example.com,15,fastapi,1
253,user253@outlook.com,11,dart,0
254,user254@hotmail.com,11,typescript,0
255,user255@yahoo.com,8,c++,0
256,user256@gmail.com,11,django,1
257,user257@example.com,10,fortran,0
258,user258@hotmail.com,3,erlang,0
259,user259@gmail.com,11,kotlin,0
260,user260@example.com,15,go,0
261,user261@yahoo.com,3,julia,0
262,user262@gmail.com,14,kotlin,0
263,user263@yahoo.com,14,sas,0
264,user264@outlook.com,11,go,0
265,user265@gmail.com,6,c#,0
266,user266@outlook.com,2,perl,0
267,user267@outlook.com,3,r,0
268,user268@example.com,14,php,0
269,user269@yahoo.com,2,fastapi,1
270,user270@gmail.com,1,css,0
271,user271@gmail.com,14,lua,0
272,user272@example.com,9,pandas,1
273,user273@yahoo.com,6,lisp,0
274,user274@gmail.com,10,julia,0
275,user275@hotmail.com,6,dart,0
276,user276@outlook.com,13,javascript,0
277,user277@hotmail.com,15,html,0
278,user278@gmail.com,5,elixir,0
279,user279@gmail.com,7,pandas,1
280,user280@hotmail.com,9,lisp,0
281,user281@hotmail.com,14,javascript,0
282,user282@yahoo.com,1,haskell,0
283,user283@gmail.com,7,flask,1
284,user284@hotmail.com,7,javascript,0
285,user285@outlook.com,7,fastapi,1
286,user286@yahoo.com,1,go,0
287,user287@yahoo.com,6,fortran,0
288,user288@gmail.com,15,sas,0
289,user289@outlook.com,10,flask,1
290,user290@yahoo.com,8,pandas,1
291,user291@yahoo.com,2,django,1
292,user292@hotmail.com,9,perl,0
293,user293@hotmail.com,14,javascript,0
294,user294@example.com,7,bash,0
295,user295@hotmail.com,5,pandas,1
296,user296@example.com,12,elixir,0
297,user297@example.com,8,python,1
298,user298@outlook.com,9,c#,0
299,user299@gmail.com,7,lisp,0
300,user300@gmail.com,12,ruby,0
301,user301@hotmail.com,1,css,0
302,user302@outlook.com,5,fortran,0
303,user303@yahoo.com,11,django,1
304,user304@gmail.com,5,ruby,0
305,user305@yahoo.com,12,html,0
306,user306@example.com,3,cobol,0
307,user307@hotmail.com,1,java,0
308,user308@yahoo.com,12,lua,0
309,user309@example.com,13,json,0
310,user310@yahoo.com,13,r,0
311,user311@outlook.com,8,xml,0
312,user312@outlook.com,11,sas,0
313,user313@hotmail.com,11,scheme,0
314,user314@example.com,2,typescript,0
315,user315@yahoo.com,12,html,0
316,user316@hotmail.com,4,matlab,0
317,user317@yahoo.com,14,sas,0
318,user318@yahoo.com,8,c#,0
319,user319@example.com,15,java,0
320,user320@example.com,15,go,0
321,user321@outlook.com,5,c++,0
322,user322@yahoo.com,11,elixir,0
323,user323@yahoo.com,5,r,0
324,user324@example.com,11,c++,0
325,user325@yahoo.com,3,ruby,0
326,user326@hotmail.com,1,lisp,0
327,user327@yahoo.com,13,scheme,0
328,user328@hotmail.com,3,java,0
329,user329@yahoo.com,13,rust,0
330,user330@hotmail.com,10,pandas,1
