no,email,EXPERIENCE,TECH,dependend
15386,user15386@example.com,0,c++,0
6837,user6837@example.com,37,python,1
16504,user16504@example.com,6,c++,0
12123,user12123@example.com,20,ruby,0
15365,user15365@example.com,29,java,0
18993,user18993@example.com,5,java,0
6267,user6267@example.com,39,python,1
18638,user18638@example.com,25,go,0
7718,user7718@example.com,19,python,1
7925,user7925@example.com,23,python,1
16238,user16238@example.com,9,java,0
3598,user3598@example.com,29,python,1
2261,user2261@example.com,16,python,1
2765,user2765@example.com,21,python,1
7916,user7916@example.com,34,python,1
10023,user10023@example.com,32,go,0
10426,user10426@example.com,26,java,0
378,user378@example.com,20,python,1
1755,user1755@example.com,19,python,1
3607,user3607@example.com,36,python,1
15592,user15592@example.com,14,java,0
6914,user6914@example.com,14,python,1
7427,user7427@example.com,37,python,1
3339,user3339@example.com,32,python,1
1587,user1587@example.com,30,python,1
19552,user19552@example.com,3,go,0
8958,user8958@example.com,28,python,1
6097,user6097@example.com,35,python,1
11185,user11185@example.com,4,java,0
14078,user14078@example.com,25,javascript,0
5339,user5339@example.com,27,python,1
15759,user15759@example.com,17,go,0
14770,user14770@example.com,6,java,0
7659,user7659@example.com,39,python,1
7783,user7783@example.com,14,python,1
11567,user11567@example.com,22,go,0
5274,user5274@example.com,19,python,1
16706,user16706@example.com,26,go,0
13866,user13866@example.com,13,go,0
13847,user13847@example.com,10,javascript,0
17944,user17944@example.com,2,c++,0
16793,user16793@example.com,7,javascript,0
11463,user11463@example.com,6,ruby,0
14899,user14899@example.com,3,java,0
12798,user12798@example.com,3,ruby,0
5647,user5647@example.com,22,python,1
1764,user1764@example.com,36,python,1
12842,user12842@example.com,2,java,0
14533,user14533@example.com,6,javascript,0
13667,user13667@example.com,8,c++,0
1846,user1846@example.com,27,python,1
4902,user4902@example.com,37,python,1
18596,user18596@example.com,15,c++,0
8115,user8115@example.com,20,python,1
7341,user7341@example.com,30,python,1
6012,user6012@example.com,24,python,1
14254,user14254@example.com,14,java,0
7387,user7387@example.com,28,python,1
8553,user8553@example.com,17,python,1
5068,user5068@example.com,35,python,1
11999,user11999@example.com,3,c++,0
14140,user14140@example.com,20,go,0
14329,user14329@example.com,6,java,0
14164,user14164@example.com,1,ruby,0
10138,user10138@example.com,2,java,0
