no,email,EXPERIENCE,TECH,dependend
1,user1@example.com,15,python,1
2,user2@example.com,6,python,1
3,user3@example.com,10,python,1
4,user4@example.com,14,python,1
5,user5@example.com,11,python,1
6,user6@example.com,11,python,1
7,user7@example.com,14,python,1
8,user8@example.com,11,python,1
9,user9@example.com,12,python,1
10,user10@example.com,15,python,1
11,user11@example.com,9,python,1
12,user12@example.com,9,python,1
13,user13@example.com,8,python,1
14,user14@example.com,14,python,1
15,user15@example.com,15,python,1
16,user16@example.com,10,python,1
17,user17@example.com,11,python,1
18,user18@example.com,12,python,1
19,user19@example.com,12,python,1
20,user20@example.com,12,python,1
21,user21@example.com,6,python,1
22,user22@example.com,12,python,1
23,user23@example.com,15,python,1
24,user24@example.com,9,python,1
25,user25@example.com,15,python,1
26,user26@example.com,8,python,1
27,user27@example.com,15,python,1
28,user28@example.com,13,python,1
29,user29@example.com,15,python,1
30,user30@example.com,13,python,1
31,user31@example.com,12,python,1
32,user32@example.com,14,python,1
33,user33@example.com,10,python,1
34,user34@example.com,12,python,1
35,user35@example.com,13,python,1
36,user36@example.com,14,python,1
37,user37@example.com,13,python,1
38,user38@example.com,9,python,1
39,user39@example.com,12,python,1
40,user40@example.com,12,python,1
41,user41@example.com,9,python,1
42,user42@example.com,11,python,1
43,user43@example.com,10,python,1
44,user44@example.com,15,python,1
45,user45@example.com,12,python,1
46,user46@example.com,8,python,1
47,user47@example.com,12,python,1
48,user48@example.com,7,python,1
49,user49@example.com,14,python,1
50,user50@example.com,6,python,1
51,user51@example.com,8,python,1
52,user52@example.com,6,python,1
53,user53@example.com,6,python,1
54,user54@example.com,10,python,1
55,user55@example.com,14,python,1
56,user56@example.com,10,python,1
57,user57@example.com,7,python,1
58,user58@example.com,7,python,1
59,user59@example.com,14,python,1
60,user60@example.com,13,python,1
61,user61@example.com,10,python,1
62,user62@example.com,7,python,1
63,user63@example.com,9,python,1
64,user64@example.com,14,python,1
65,user65@example.com,10,python,1
66,user66@example.com,8,python,1
67,user67@example.com,7,python,1
68,user68@example.com,11,python,1
69,user69@example.com,7,python,1
70,user70@example.com,13,python,1
71,user71@example.com,13,python,1
72,user72@example.com,9,python,1
73,user73@example.com,9,python,1
74,user74@example.com,10,python,1
75,user75@example.com,15,python,1
76,user76@example.com,12,python,1
77,user77@example.com,11,python,1
78,user78@example.com,9,python,1
79,user79@example.com,9,python,1
80,user80@example.com,8,python,1
81,user81@example.com,9,python,1
82,user82@example.com,6,python,1
83,user83@example.com,14,python,1
84,user84@example.com,15,python,1
85,user85@example.com,11,python,1
86,user86@example.com,12,python,1
87,user87@example.com,15,python,1
88,user88@example.com,14,python,1
89,user89@example.com,7,python,1
90,user90@example.com,6,python,1
91,user91@example.com,9,python,1
92,user92@example.com,8,python,1
93,user93@example.com,14,python,1
94,user94@example.com,12,python,1
95,user95@example.com,12,python,1
96,user96@example.com,8,python,1
97,user97@example.com,15,python,1
98,user98@example.com,7,python,1
99,user99@example.com,14,python,1
100,user100@example.com,8,python,1
101,user101@example.com,9,python,1
102,user102@example.com,12,python,1
103,user103@example.com,7,python,1
104,user104@example.com,12,python,1
105,user105@example.com,13,python,1
106,user106@example.com,13,python,1
107,user107@example.com,11,python,1
